order_id,user_id,order_total,currency,payment_method,account_age_days,num_items,num_distinct_products,previous_completed_purchases,previous_returns,previous_chargebacks,historical_avg_order_value,avg_days_between_purchases,days_since_last_purchase,user_return_rate,user_session_count_7d,user_page_views_7d,user_cart_adds_7d,user_cart_removals_7d,user_searches_7d,primary_device,primary_category,billing_street,billing_city,billing_state,billing_zip_code,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip_code,shipping_country
531d6be0-d4b5-4903-a9ef-904687c0b71e,194eb3ef,2505.28,USD,credit_card,351,9,3,0,0,0,,7.89,,0.0,,,,,,,clothing,78738 Robert Hills Suite 463,East Gina,WY,14306,US,08910 David Flat,Jacobsonmouth,KY,71050,US
5aff282f-0f1a-47e4-9333-24e827b913d8,bbe8e247,-2115.62,USD,google_pay,758,11,3,0,0,0,,7.08,,0.0,3,5,0,0,0,mobile,food,5457 Jones Court,Lake Amandachester,NJ,27994,US,721 Erin Villages Apt. 249,Port Veronica,AK,34909,US
a21e1a27-969c-4d88-a1ee-c5b3cbc5f758,fcdb7d77,1537.11,USD,credit_card,621,19,5,0,0,0,,7.73,,0.0,,,,,,,food,751 Simmons Highway Suite 979,South Jessica,CT,61133,US,442 Tiffany Summit Suite 781,Deborahhaven,HI,13833,US
18396b47-da4a-4712-bba8-cf9f380d2dbd,cfe78374,1772.69,USD,debit_card,269,8,5,1,0,0,4415.96,9.22,91,0.0,3,5,0,0,0,tablet,books,1874 Luis Landing,Hannahmouth,NC,75736,US,771 Lopez Port Suite 234,North Kellyview,NH,16295,US
dba014ed-46eb-4e16-944e-63804f6867f7,659667be,1195.66,USD,credit_card,285,8,3,0,0,0,,7.09,,0.0,,,,,,,food,20867 Meadows Alley Apt. 977,Port Andrew,KY,85693,US,124 Elliott Rapids,Murrayview,WA,10695,US
fba851ad-288f-4510-9d58-26eaea61b551,a7bd894b,844.82,USD,debit_card,496,11,4,0,0,0,2049.32,10.71,92,0.0,,,,,,,sports,080 Steven Alley,Johnhaven,FM,02736,US,74120 Villarreal Village Suite 271,South Christineburgh,ME,11975,US
6d898183-95cd-4590-af8c-7a77f7fdd1f7,6fd6c1d9,3588.75,USD,debit_card,493,11,3,0,0,0,,6.67,,0.0,2,2,0,0,0,tablet,food,20092 Jensen Courts,Lake Kimberly,KY,49389,US,9481 Bradley Dale,East Williamburgh,OK,81169,US
a8554f64-e2fd-4428-8dcc-548ae5b72498,72557353,1300.16,USD,apple_pay,570,9,4,0,0,0,,9.33,,0.0,,,,,,,clothing,727 Marcus Falls,Shannonview,NE,86436,US,8872 Michael Stream Apt. 635,Taratown,GA,80815,US
07b8c94f-395b-4ad9-b468-27314ccfa478,30801706,2210.14,USD,paypal,631,15,4,0,0,0,,8.75,,0.0,4,4,0,0,0,desktop,food,6529 Jones Squares,Meganfurt,MT,08671,US,83691 Mcdonald Hills,South Tonyview,PW,23934,US
60d8c99b-cc8d-4ddf-ae49-2ba308d9736c,1898814b,1119.92,USD,paypal,559,6,3,2,1,0,1566.38,7.91,88,0.5,3,3,0,0,0,desktop,electronics,137 Tina Valleys,Lake Brandon,PR,61361,US,24876 Williams Stravenue,North Shane,IN,62078,US
bb2bb28c-8f04-43a7-bd44-3e8685b9b342,01d2f75d,3990.22,USD,bank_transfer,728,18,5,0,0,0,4579.97,7.91,91,0.0,,,,,,,food,5696 Miranda Island,Lake Christopher,NV,91765,US,95929 Walker Mountain Apt. 971,Evanchester,MT,71092,US
15478880-8baa-4c6c-9589-8da60ee5dc02,9010d566,2286.92,USD,bank_transfer,711,15,5,0,0,0,,9.11,,0.0,,,,,,,toys,431 Olson Pike Apt. 730,Lake Gary,IL,34745,US,82400 Fuentes Valley,Paigemouth,PA,21449,US
176077e3-27f2-48e2-8dc9-f7dac9327be8,1c9b9667,465.72,USD,credit_card,374,4,1,0,0,0,,10.0,,0.0,4,4,0,0,1,desktop,books,004 Anthony Fords,Jenniferton,MA,15243,US,5197 Robert Tunnel Suite 694,Stevensview,DE,91087,US
99b42589-8a02-4e4f-958a-73b27369a496,b1722085,1964.98,USD,bank_transfer,527,14,4,1,0,0,1389.61,6.36,86,0.0,2,2,0,0,1,tablet,food,49704 Jones Corner Suite 943,North Jacqueline,NV,41430,US,355 Vega Roads,Williamsonfurt,WV,12782,US
0c82217e-ec1d-4db8-bc6e-5e82f42401a2,bb6c29ad,1842.33,USD,apple_pay,646,11,5,0,0,0,,12.33,,0.0,2,2,0,0,0,tablet,beauty,214 Christopher Bypass Apt. 200,Timothyville,VI,54756,US,97356 Roberts Keys,Brittanyberg,AL,87829,US
150ea6ba-a3e8-404d-95a3-9da846cb023e,6f5e2ad0,-3202.23,USD,bank_transfer,791,13,5,2,0,0,4417.62,7.0,86,0.0,,,,,,,sports,3013 Monica Garden Apt. 379,Olsenville,ME,41614,US,829 Carlson Trace Suite 054,Jonesland,DE,30167,US
61a642f1-cb1e-48e4-a218-bc53b982f09b,51c2693b,3534.7,USD,bank_transfer,296,14,5,0,0,0,,9.63,,0.0,,,,,,,toys,502 Bowers Mills Suite 537,Danielhaven,MS,79460,US,55111 Christine Throughway,South Kristenburgh,MS,65186,US
7e0b0300-e6db-4a00-84ea-8185d0c70114,70deb236,510.82,USD,debit_card,340,5,2,1,0,0,1593.56,7.18,88,0.0,,,,,,,clothing,2970 Tapia Green Suite 784,Lindaport,ID,44327,US,1041 Laura Run,Waltermouth,NM,74103,US
225efe54-18de-4d3b-b3bd-852bc0bde627,9294d996,3764.81,USD,paypal,668,10,3,0,0,0,,7.0,,0.0,,,,,,,food,30851 Baker Island Suite 587,Andersontown,OR,13978,US,378 Cook Island,East Andrea,RI,41142,US
8374ee55-23b3-4375-aa75-91d48b4f92ae,7eeb8a1e,3011.53,USD,debit_card,530,8,3,0,0,0,,8.33,,0.0,8,18,0,0,0,desktop,home,93349 Cynthia Orchard,West Lisaburgh,ID,65724,US,910 Austin Island Apt. 074,Jonathantown,TX,01209,US
7893b930-bb04-41cf-bd25-80577c519374,6af6cd56,708.75,USD,paypal,210,3,2,1,0,0,3268.54,14.6,80,0.0,4,4,0,0,1,tablet,food,375 Jerry Crossroad Apt. 834,East Francisco,AS,24532,US,7062 Manning Viaduct,South Renee,MP,35816,US
